ID,人数,順位,ゲームの時間,送ったライン合計,APM,日付,(JST),リプレイ
QB2VJH,4,3/4,58.33,30,46.29,2021-06-27,21:03:24,
26QCVI,6,3/6,1:56.860,39,43.13,2021-06-27,21:01:00,
88RLJ3,6,3/6,2:17.030,67,32.4,2021-06-27,20:58:47,
Z8BDLR,5,3/5,1:52.470,44,28.81,2021-06-27,20:56:16,
O79BJB,7,1/7,2:37.490,88,37.72,2021-06-27,20:53:46,
ANIUG9,5,2/5,1:37.710,41,32.55,2021-06-27,20:51:04,
ADFYX1,3,1/3,1:15.160,56,52.69,2021-06-27,17:01:51,
42AH91,4,1/4,2:20.590,86,40.12,2021-06-27,17:00:26,
AMOSL7,5,2/5,1:13.390,48,51.51,2021-06-27,16:01:35,---
GN5V6M,5,4/5,22.76,3,15.82,2021-06-27,16:00:18,---
TJWFTX,4,2/4,1:48,78,54.44,2021-06-27,15:59:22,---
VNXR6V,5,3/5,2:05.530,65,37.76,2021-06-27,15:57:31,---
26U7ZC,40,24/40,1:08.590,36,38.49,2021-06-24,21:47:21,---
WE9PX5,6,2/6,1:23.470,49,39.54,2021-06-24,21:35:47,---
WHI3FF,5,1/5,1:45.870,62,46.47,2021-06-24,21:34:09,---
Y8DJZ6,5,1/5,2:08.990,91,47.45,2021-06-24,12:09:39,---
C9SHGM,5,3/5,48.22,37,48.53,2021-06-24,12:07:22,---
W2HLQQ,3,1/3,2:09.330,77,45.0,2021-06-24,12:06:28,---
7VSA65,6,2/6,2:04.100,75,38.68,2021-06-22,17:30:54,---
DMU90X,5,2/5,2:18.870,72,40.61,2021-06-22,17:28:46,---
72YXVT,5,1/5,1:23.150,64,64.22,2021-06-22,17:26:22,---
6P8Q64,5,3/5,2:24.740,71,38.97,2021-06-22,17:24:54,---
894SZK,6,2/6,2:06.400,79,45.09,2021-06-22,17:22:15,---
PIUKBE,6,2/6,1:42.280,63,47.52,2021-06-22,17:20:04,---
ORSU3U,6,3/6,1:52.640,68,42.61,2021-06-22,17:18:17,---
GA9BP8,6,3/6,50.03,11,19.19,2021-06-22,17:16:08,---
XZKBIC,4,4/4,32.37,7,12.97,2021-06-22,17:14:50,---
M4Q1TA,2,2/2,36.55,5,8.21,2021-06-22,17:12:39,---
PW6L4K,3,1/3,2:08.030,84,47.33,2021-06-21,21:30:22,---
TBCM8C,3,1/3,1:10.610,60,55.23,2021-06-21,21:28:11,---
FDHO6N,5,1/5,1:42.120,76,48.77,2021-06-21,21:26:51,---
JOH6VI,2,1/2,33.67,25,44.55,2021-06-21,21:25:02,---
XXSECD,4,2/4,1:17.090,52,50.59,2021-06-21,21:24:22,---
O6Z6S0,5,1/5,1:22.990,50,39.04,2021-06-21,21:23:01,---
4N3D3L,6,3/6,1:50,52,40.91,2021-06-21,21:21:32,---
FXFS2V,4,1/4,1:56.540,73,42.22,2021-06-21,21:18:33,---
5C6GBH,40,15/40,1:50.120,70,45.22,2021-06-21,18:15:29,---
ZVVSDE,37,6/37,2:42.960,96,45.29,2021-06-21,18:12:30,---
PD6B3H,5,3/5,1:54.150,69,44.68,2021-06-21,18:06:43,---
FFXPRE,6,3/6,1:11.340,26,40.37,2021-06-21,18:04:10,---
1DF6MA,4,2/4,2:21.570,73,50.01,2021-06-21,18:02:37,---
8DM7FO,5,3/5,1:46.180,36,33.9,2021-06-21,18:00:12,---
MWIH6H,5,3/5,1:19.190,60,47.73,2021-06-21,17:57:56,---
BX66JH,5,1/5,2:12,73,38.64,2021-06-21,17:55:41,---
JP5AFB,5,5/5,54.07,17,24.41,2021-06-21,17:53:26,---
BBCPEZ,6,2/6,1:58.300,66,40.57,2021-06-21,17:51:24,---
HHXL05,6,2/6,2:53.680,107,46.98,2021-06-21,16:12:50,---
AMY1J0,6,5/6,22.98,8,23.5,2021-06-20,22:21:51,---
PFB9IA,39,8/39,2:28.510,95,42.42,2021-06-19,17:27:35,---
VI7OQC,37,3/37,2:48.120,66,27.48,2021-06-19,17:24:30,---
12KCSB,37,1/37,3:00.120,125,45.3,2021-06-19,17:21:30,---
C7J2A3,37,3/37,2:54,88,36.21,2021-06-19,17:18:24,---
8TP6PK,4,3/4,1:03.900,49,56.34,2021-06-18,14:42:34,---
EKO6JJ,9,8/9,35.86,21,48.52,2020-02-23,12:57:57,---
RN5I2U,4,4/4,26.04,4,13.82,2021-06-17,12:59:36,---
ZHD0VV,6,5/6,30.8,11,23.38,2021-06-17,12:56:01,---
D8B2T6,5,5/5,25.64,0,0.0,2021-06-16,23:00:06,---
SQFFQD,5,3/5,1:15.770,35,35.63,2021-06-16,22:58:53,---
KOK25F,6,4/6,50.14,12,32.31,2021-06-16,22:56:39,---
EMVIBP,4,2/4,2:08.600,53,32.66,2021-06-16,22:54:33,---
4K8YPY,5,3/5,37.09,8,43.68,2021-06-16,22:52:20,---
2BFPJC,5,4/5,49.94,16,30.04,2021-06-16,22:51:28,---
RGAS06,5,3/5,1:42.280,47,29.92,2021-06-16,22:49:09,---
